Gene1,Gene2,connected_driver_gene,gene_type,confidence
SUMF2,SUMF1,,3,0.998051
ABCC9,KCJ11,,3,0.990732
ECHB,ECHA,,3,0.99998
TF2AA,T2AG,,3,0.9994
PAR6A,DVL2,,3,0.995887
KCC2A,M3K7,,3,0.992371
GAB1,GRB2,,3,0.999283
P85A,PK3CA,,3,0.997185
SRC,PAXI,,1,0.993659
GBG1,GBB1,,3,0.997201
FNTA,FNTB,,3,0.999979
MRE11,RAD50,,0,0.999963
KAT5,ATM,ATM,2,0.991241
SMCA5,BAZ1B,,3,0.999428
UBC9,SUMO1,,3,0.998302
UB2V2,UBE2N,,3,0.999527
BRCA1,BARD1,,1,0.999934
RAD51,BRCA2,,1,0.998281
XPF,ERCC1,ERCC1,2,0.999982
XRCC6,XRCC5,,1,0.999997
XRCC4,DNLI4,,3,0.998029
HBA,HBB,,3,1.0
CCNB1,CDK1,,3,0.997751
CLP 1,PCF11,,3,0.99392
TEAD2,YAP1,,3,0.995059
P53,PTEN,PTEN,2,0.995948
TSC2,TSC1,,1,0.999014
P53,BID,,3,0.990567
P53,TPIP1,,3,0.991662
CASP6,P53,,3,0.995689
BIRC5,P53,,3,0.996859
P53,BCL6,BCL6,2,0.992718
E2F7,E2F8,,3,0.996742
JUN,ATF2,,1,0.997095
JUN,FOS,,1,0.999492
MLH1,P53,,1,0.997648
P53,DDB2,DDB2,2,0.996406
P53,MDM2,MDM2,2,1.0
CSK 21.00,CSK 22.00,,3,0.999769
AURKA,TPX2,,1,0.9944
CDK5,CD5R1,,3,0.998601
PHF20,P53,,3,0.991567
CCND1,CDK4,,1,0.999182
SMAD3,SMAD4,,1,0.999702
RUNX3,P53,,1,0.9918
HDAC2,SIN3A,,3,0.99997
HDAC1,SIN3A,,3,0.999982
MAX,MGAP,,1,0.997734
FOXO4,CBP,,1,0.994108
CBP,FOXO1,FOXO1,2,0.998785
FOXO3,SODM,,1,0.992699
SPT4H,SPT5H,,3,0.992623
ELOC,ELOB,,3,0.992763
T2FA,T2FB,,3,0.997021
NCBP2,NCBP1,,3,0.994422
TAP1,TAP2,,3,0.994613
ACHA4,ACHB2,,3,0.997388
ACHA3,ACHB4,,3,0.992244
ATRX,DAXX,,1,0.990975
TNR1A,TNFA,,3,0.99949
UBE2B,RAD18,,3,0.999615
TRI25,UB2L6,,3,0.990172
PMS2,MLH1,,1,0.999162
FANCM,FAP24,,3,0.998979
CENPX,CENPS,,0,0.999797
FACD2,FANCI,,3,0.993755
TNF15,TNR25,,3,0.99102
