Gene1,Gene2,connected_driver_gene,gene_type,confidence
GRB7,ERBB2,ERBB2,2,0.9
DLG4,ERBB2,ERBB2,2,0.88
P85B,ERBB2,ERBB2,2,0.9
PTN18,ERBB2,ERBB2,2,0.88
LAP2,ERBB2,ERBB2,2,0.97
SMUF2,RHG05,,3,0.94
MERL,ERBB2,ERBB2,2,0.8
ERRFI,ERBB2,ERBB2,2,0.88
MMP7,CD44,,1,0.84
MUC4,ERBB2,,1,0.84
TLE1,FOXG1,,3,0.86
KDM5B,FOXG1,,3,0.86
CBL,VAV,,1,0.9
PLCG1,VAV,,1,0.95
PRLR,VAV,,3,0.88
TYK2,VAV,,3,0.83
MK01,VAV,,3,0.83
TGFR1,CD44,CD44,2,0.88
KSYK,VAV,,3,0.9
TEC,VAV,,1,0.84
HNRPK,VAV,,3,0.95
SLAP1,VAV,,3,0.88
FAK2,VAV,,3,0.86
EZH2,VAV,,1,0.9
LCP2,VAV,,3,0.9
3BP2,VAV,,3,0.9
SIAH2,VAV,,3,0.89
LAT,VAV,,3,0.9
SOCS1,VAV,,1,0.88
CBLB,VAV,,1,0.89
BLNK,VAV,,3,0.83
RGAP1,VAV,,3,0.85
YES,YES,,3,0.84
CD36,YES,,3,0.83
RL10,YES,,3,0.87
NPHN,YES,,3,0.83
GPVI,YES,,3,0.84
TBP,REL,REL,2,0.85
ARHG1,CD44,CD44,2,0.83
LYN,KIT,KIT,2,0.9
P85A,KIT,KIT,2,0.9
PLCG1,KIT,,1,0.97
PTN11,KIT,KIT,2,0.9
MERL,CD44,CD44,2,0.89
PTN6,KIT,KIT,2,0.9
SCF,KIT,KIT,2,0.9
SRC,KIT,,1,0.87
MATK,KIT,KIT,2,0.85
KIT,STAT1,,1,0.89
TEC,KIT,,1,0.9
GRB7,KIT,KIT,2,0.89
FCG3A,CD38,,3,0.85
CRKL,KIT,KIT,2,0.88
P85B,KIT,KIT,2,0.89
SOCS1,KIT,,1,0.86
GRAP,KIT,KIT,0,0.86
GRAP2,KIT,KIT,2,0.92
SH2B3,KIT,,1,0.93
STAP1,KIT,KIT,2,0.94
CBL,FGR,,1,0.83
WASP,FGR,,3,0.96
KSYK,FGR,,3,0.87
DAB2,FGR,,3,0.85
FGR,HCLS1,,3,0.83
MAML1,NOTC4,,3,0.88
INS,NOV,,3,0.85
NOTC1,NOV,,3,0.88
S10A4,NOV,,3,0.81
CBX3,PIM1,PIM1,2,0.89
NHEJ1,NHEJ1,,3,0.88
CO9,CD59,,3,0.85
GDIB,RAB8A,,3,0.96
OPTN,RAB8A,,3,0.97
SYTL4,RAB8A,,3,0.97
RIMS2,RAB8A,,3,0.8
RP3A,RAB8A,,3,0.94
VGFR2,VGFR1,,3,0.85
VEGFA,VGFR1,,1,0.9
PLGF,VGFR1,,3,0.9
VEGFB,VGFR1,,3,0.88
SETB1,ERG,ERG,2,0.81
NCK1,RRAS,,0,0.89
RASF5,RRAS,,3,0.88
IL6RB,ONCM,,3,0.89
LYN,LYN,,3,0.87
CBL,LYN,,1,0.96
CD36,LYN,,3,0.87
PTN6,LYN,,3,0.9
LYN,BTK,BTK,2,0.87
DEST,ACTG,,3,0.92
CD24,LYN,,3,0.86
LYN,KSYK,,3,0.9
PDE4A,LYN,,3,0.92
LYN,PLCG2,,3,0.89
SHC1,LYN,,3,0.85
HNRPK,LYN,,3,0.84
FAK1,LYN,,3,0.89
PK3CG,LYN,,3,0.85
LYN,HCLS1,,3,0.95
MK03,LYN,,3,0.86
KHDR1,LYN,,3,0.89
BCAR1,LYN,,3,0.9
TRAT1,LYN,,3,0.85
SKAP2,LYN,,3,0.93
GAB3,LYN,,3,0.87
GPVI,LYN,,3,0.9
JUN,JUN,,1,0.99
SPI1,JUN,JUN,2,0.85
RB,JUN,JUN,2,0.89
STF1,JUN,JUN,2,0.87
NFYA,JUN,JUN,2,0.83
SP1,JUN,JUN,2,0.89
ABL1,JUN,,1,0.8
TPM1,JUN,JUN,2,0.89
TAF1,JUN,JUN,2,0.85
ANDR,JUN,JUN,2,0.9
TBP,JUN,JUN,2,0.89
CBP,JUN,JUN,2,0.9
PTN6,CD72,,3,0.9
RUNX2,JUN,JUN,2,0.89
HMGA1,JUN,,1,0.87
SMAD4,JUN,,1,0.83
PIN1,JUN,,1,0.89
MK08,JUN,JUN,2,0.99
"NACA,NACAM,NACA",JUN,JUN,2,0.88
SMAD2,JUN,,1,0.89
SEM4D,CD72,,3,0.88
FOSL2,JUN,JUN,2,0.97
SUMO1,JUN,JUN,2,0.93
NCOA1,JUN,,1,0.89
BLNK,CD72,,3,0.83
EP300,JUN,,1,0.9
MK09,JUN,JUN,2,0.96
SMAD3,JUN,,1,0.9
DHX9,JUN,JUN,2,0.86
ATF3,JUN,JUN,2,0.97
HIF1A,JUN,,1,0.85
DDX21,JUN,JUN,2,0.89
ATF4,JUN,JUN,2,0.9
CSN5,JUN,JUN,2,0.9
RFWD2,JUN,JUN,2,0.9
UBC9,JUN,JUN,2,0.85
RBM39,JUN,JUN,2,0.88
BATF,JUN,JUN,2,0.88
CREB5,JUN,JUN,2,0.9
NELFB,JUN,JUN,0,0.89
JDP2,JUN,JUN,2,0.96
SMAD4,JUNB,,1,0.88
MK08,JUNB,,3,0.85
FOSL2,JUNB,,3,0.96
SMAD3,JUNB,,1,0.89
BATF,JUNB,,3,0.9
MK08,JUND,,3,0.89
FOSL2,JUND,,3,0.94
ATF3,JUND,,3,0.96
CSN5,JUND,,3,0.86
RFWD2,JUND,,3,0.88
BATF,JUND,,3,0.83
JDP2,JUND,,3,0.87
SMAD5,SMAD4,SMAD4,0,0.87
NONO,SPI1,,1,0.85
GATA1,SPI1,,1,0.81
IRF4,SPI1,,1,0.89
OPRM,OPRD,,3,0.83
NHRF1,OPRK,,3,0.89
CBP,EVI1,,3,0.87
HDAC1,EVI1,,3,0.9
CTBP1,EVI1,,3,0.99
CTBP2,EVI1,,3,0.82
SMAD3,EVI1,,1,0.88
KAT2B,EVI1,,0,0.87
ZIC1,GLI1,GLI1,2,0.85
ZIC2,GLI1,GLI1,2,0.8
SUFU,GLI1,,1,0.9
STK36,GLI1,GLI1,2,0.87
SUFU,GLI2,,1,0.89
ZIC3,GLI3,,3,0.92
CBP,GLI3,,3,0.9
KLK2,AACT,,3,0.87
ZIC1,GLI3,,3,0.85
ZIC2,GLI3,,3,0.85
SUFU,GLI3,,1,0.9
STK36,GLI3,,3,0.87
SMAD4,SKIL,,1,0.9
SMAD2,SKIL,,1,0.89
SMAD3,SKIL,,1,0.89
CBL,CBL,,1,0.9
NHEJ1,DNLI4,,3,0.9
PLCG1,CBL,,1,0.97
ZAP70,CBL,CBL,2,0.9
ABL1,CBL,,1,0.9
SRC,CBL,,1,0.9
BLK,CBL,CBL,2,0.84
BTK,CBL,,1,0.9
SH3K1,CBL,CBL,2,0.97
KSYK,CBL,CBL,2,0.97
VAV2,CBL,CBL,2,0.81
NCK1,CBL,CBL,0,0.9
SHC1,CBL,CBL,2,0.96
SHIP2,CBL,CBL,2,0.88
SLAP1,CBL,CBL,2,0.89
